Date,Drink water,Exercise eg. Yoga,Meditate,Journal,Affirmations
2024-02-04,0,0,1,1,1
2024-02-05,1,1,1,1,1
2024-02-06,1,1,0,1,1
2024-02-07,0,0,1,1,1
2024-02-08,1,1,1,1,1
2024-02-09,1,0,0,1,0
2024-02-10,1,1,1,0,0
2024-02-11,1,0,0,1,1
2024-02-12,0,0,0,1,1
2024-02-13,1,1,1,1,1
2024-02-14,0,1,0,0,1
2024-02-15,1,1,0,0,1
2024-02-16,0,0,1,1,0
2024-02-17,1,1,0,0,1
2024-02-18,1,0,1,1,0
2024-02-19,0,0,0,1,1
2024-02-20,1,1,0,0,1
2024-02-21,0,0,1,1,0
2024-02-22,1,1,0,0,1
2024-02-23,1,0,1,1,0
2024-02-24,0,0,0,1,1
2024-02-25,1,1,0,0,1
2024-02-26,0,0,1,1,0
2024-02-27,1,1,0,0,1
2024-02-28,1,0,1,1,0
2024-02-29,0,0,0,1,1
2024-03-01,1,1,0,0,1
2024-03-02,0,0,1,1,1
2024-03-03,1,1,0,0,1
2024-03-04,1,0,1,1,0
2024-03-05,0,1,0,1,0
2024-03-06,1,1,1,1,0
2024-03-07,0,0,1,1,1
